X,Y,Name,description,Debris Levels,Wind Speed,Wind Direction,Long,Lat,Debris Categories,Date,Boat,Field_1
-134.466666666647,46.65,Kinetic,,No debris,17,005,-134.466667,46.65,,8/15/2012,Kinetic,Kinetic
-129.583333333677,48.7500000001323,Ballymack,,No debris,17,320,-129.583333,48.75,,8/15/2012,Ballymack,Ballymack
-131.65,46.4999999997044,Family Affair,,No debris,20,350,-131.65,46.5,,8/15/2012,Family Affair,Family Affair
-130.316666666576,47.933333333352,Kinetic,,No debris,17,350,-130.316667,47.933333,,8/16/2012,Kinetic,Kinetic
-124.7666666666,48.8166666665028,Ballymack,,No debris,5,007,-124.766667,48.816667,,8/16/2012,Ballymack,Ballymack
-127.6333333332,47.6833333332591,Family Affair,,No debris,15,350,-127.633333,47.683333,,8/16/2012,Family Affair,Family Affair
-125.633333333079,48.4000000002211,Kinetic,,No debris,7,170,-125.633333,48.4,,8/17/2012,Kinetic,Kinetic
-140.983333333288,45.1,Bravo Zulu,,No debris,15,035,-140.983333,45.1,,8/17/2012,Bravo Zulu,Bravo Zulu
-151.86666666662,34.4166666667426,Red Sheilla,,Occasional small and medium debris,11,070,-151.866667,34.416667,,8/4/2012,Red Sheilla,Red Sheilla
-153.95,33.5666666665718,Ballymack,,Occasional small and medium debris,12,070,-153.95,33.566667,,8/4/2012,Ballymack,Ballymack
-156.183333333668,27.533333333565,Family Affair,,Occasional small and medium debris,15,060,-156.183333,27.533333,,8/4/2012,Family Affair,Family Affair
-149.200000000391,37.066666666351,Double Take,,Occasional small and medium debris,4,026,-149.2,37.066667,,8/5/2012,Double Take,Double Take
-152.266666666465,34.8499999999143,Terremoto,,Occasional small and medium debris,4,092,-152.266667,34.85,,8/5/2012,Terremoto,Terremoto
-151.116666666575,37.6333333332731,Red Sheilla,,Occasional small and medium debris,5,220,-151.116667,37.633333,,8/5/2012,Red Sheilla,Red Sheilla
